word,n,language
care,4,English
censorship,4,English
center,4,English
challenge,4,English
chris,4,English
citing,4,English
claiming,4,English
click,4,English
closed,4,English
collection,4,English
communications,4,English
community,4,English
concern,4,English
confidence,4,English
confront,4,English
consent,4,English
considered,4,English
consumer,4,English
consumers,4,English
continue,4,English
corner,4,English
crucial,4,English
debate,4,English
decided,4,English
decisions,4,English
delete,4,English
details,4,English
determine,4,English
devices,4,English
director,4,English
downloaded,4,English
durbin,4,English
easy,4,English
editor,4,English
ensure,4,English
event,4,English
events,4,English
expected,4,English
explanation,4,English
explicit,4,English
exposed,4,English
expressed,4,English
faced,4,English
facing,4,English
fall,4,English
favor,4,English
feed,4,English
fell,4,English
figure,4,English
final,4,English
fire,4,English
forward,4,English
founders,4,English
friendship,4,English
front,4,English
giants,4,English
gillott,4,English
giving,4,English
happen,4,English
happy,4,English
harm,4,English
harvesting,4,English
hatch,4,English
hate,4,English
hold,4,English
idea,4,English
impossible,4,English
include,4,English
increasingly,4,English
insights,4,English
instagram,4,English
intense,4,English
invitations,4,English
invited,4,English
ives,4,English
joint,4,English
journalists,4,English
leak,4,English
learned,4,English
led,4,English
lindsey,4,English
live,4,English
lives,4,English
mashable,4,English
mass,4,English
massachusetts,4,English
massive,4,English
mercer,4,English
messages,4,English
misinformation,4,English
note,4,English
ortutay,4,English
oversight,4,English
panel,4,English
planned,4,English
played,4,English
posting,4,English
posts,4,English
potential,4,English
powerful,4,English
pressure,4,English
professor,4,English
propaganda,4,English
protections,4,English
provided,4,English
quickly,4,English
raised,4,English
ranking,4,English
recently,4,English
regain,4,English
regret,4,English
release,4,English
representatives,4,English
requires,4,English
return,4,English
revelation,4,English
safeguard,4,English
scandals,4,English
seat,4,English
service,4,English
sheera,4,English
shift,4,English
shirt,4,English
short,4,English
silent,4,English
sought,4,English
sources,4,English
south,4,English
spoke,4,English
stamos,4,English
stayed,4,English
summit,4,English
tightening,4,English
tour,4,English
transportation,4,English
understand,4,English
union,4,English
version,4,English
vice,4,English
won,4,English
worth,4,English
acknowledge,3,English
activity,3,English
ad,3,English
adding,3,English
addition,3,English
advertisers,3,English
agents,3,English
aggregateiq,3,English
aisle,3,English
alerting,3,English
allegedly,3,English
allowed,3,English
american,3,English
amount,3,English
amounts,3,English
analyst,3,English
appearances,3,English
apple,3,English
application,3,English
approach,3,English
argued,3,English
article,3,English
attendance,3,English
avoided,3,English
bad,3,English
balance,3,English
based,3,English
billions,3,English
black,3,English
blackburn,3,English
blog,3,English
bowe,3,English
build,3,English
calling,3,English
candidate,3,English
caught,3,English
ceos,3,English
charles,3,English
check,3,English
chuck,3,English
city,3,English
claimed,3,English
clinton,3,English
close,3,English
coming,3,English
communication,3,English
computers,3,English
conduct,3,English
connecting,3,English
continuing,3,English
contract,3,English
cook,3,English
core,3,English
creates,3,English
cubeyou,3,English
culture,3,English
cycle,3,English
dakota,3,English
dallas,3,English
dan,3,English
daniel,3,English
dark,3,English
dealing,3,English
deep,3,English
deeply,3,English
difficult,3,English
directly,3,English
discuss,3,English
dollars,3,English
dorm,3,English
dozens,3,English
dropped,3,English
ed,3,English
edition,3,English
effect,3,English
effort,3,English
engaged,3,English
engineers,3,English
enter,3,English
exploitation,3,English
failure,3,English
faith,3,English
false,3,English
feel,3,English
feels,3,English
firms,3,English
focused,3,English
force,3,English
found,3,English
founded,3,English
free,3,English
games,3,English
gbh,3,English
gilman,3,English
goal,3,English
gop,3,English
grewal,3,English
grilling,3,English
guard,3,English
guidelines,3,English
hacker,3,English
hadn,3,English
handing,3,English
handle,3,English
handling,3,English
harder,3,English
harvest,3,English
haven,3,English
headline,3,English
hear,3,English
houston,3,English
hurt,3,English
idealistic,3,English
identified,3,English
impact,3,English
importance,3,English
inadvertently,3,English
inappropriately,3,English
incident,3,English
includes,3,English
incorrect,3,English
incredibly,3,English
initial,3,English
innovation,3,English
investigate,3,English
investigations,3,English
involved,3,English
issued,3,English
keeping,3,English
kevin,3,English
klobuchar,3,English
kremlin,3,English
laid,3,English
larger,3,English
leading,3,English
legislative,3,English
legislators,3,English
light,3,English
list,3,English
log,3,English
lost,3,English
main,3,English
malicious,3,English
management,3,English
manipulate,3,English
market,3,English
matthew,3,English
measure,3,English
meddling,3,English
meet,3,English
menlo,3,English
mined,3,English
misappropriation,3,English
missteps,3,English
morning,3,English
moved,3,English
multiple,3,English
national,3,English
necessarily,3,English
nefarious,3,English
networks,3,English
newsletter,3,English
notified,3,English
notify,3,English
observer,3,English
obtain,3,English
offer,3,English
opportunity,3,English
organization,3,English
organizations,3,English
othomas,3,English
outcome,3,English
outsiders,3,English
owenthomas,3,English
pages,3,English
park,3,English
passed,3,English
pattern,3,English
perceived,3,English
phone,3,English
planning,3,English
platforms,3,English
pledged,3,English
plenty,3,English
police,3,English
practice,3,English
pretty,3,English
previous,3,English
price,3,English
print,3,English
privately,3,English
products,3,English
profiles,3,English
profitable,3,English
progress,3,English
promise,3,English
psychology,3,English
purposes,3,English
push,3,English
rapid,3,English
rare,3,English
reached,3,English
reality,3,English
reasons,3,English
received,3,English
related,3,English
replied,3,English
reputation,3,English
result,3,English
running,3,English
safety,3,English
sc,3,English
school,3,English
sd,3,English
selling,3,English
send,3,English
settings,3,English
shares,3,English
shown,3,English
similar,3,English
sit,3,English
sitting,3,English
solution,3,English
solve,3,English
sorts,3,English
specifically,3,English
spokesman,3,English
spreading,3,English
stakes,3,English
stave,3,English
study,3,English
subscribe,3,English
sued,3,English
supported,3,English
suspension,3,English
sway,3,English
talent,3,English
talked,3,English
targeting,3,English
television,3,English
telling,3,English
tens,3,English
thursday,3,English
ties,3,English
topics,3,English
tough,3,English
track,3,English
tracks,3,English
transparency,3,English
tribune,3,English
tweeted,3,English
ultimately,3,English
updated,3,English
updates,3,English
views,3,English
violated,3,English
violations,3,English
voice,3,English
vote,3,English
wall,3,English
weekend,3,English
whatsapp,3,English
workers,3,English
writers,3,English
wylie,3,English
absence,2,English
absolutely,2,English
abuse,2,English
abuses,2,English
academics,2,English
accompanied,2,English
accountable,2,English
accusations,2,English
acknowledges,2,English
acton,2,English
acts,2,English
additional,2,English
addresses,2,English
addressing,2,English
administration,2,English
admits,2,English
advice,2,English
advised,2,English
afterward,2,English
agendas,2,English
agreed,2,English
aides,2,English
alaska,2,English
aleksandr,2,English
alex,2,English
alexander,2,English
altice,2,English
amazon,2,English
amy,2,English
analysis,2,English
andrew,2,English
announcement,2,English
announcements,2,English
anonymity,2,English
